word_id	word	inst_id	yomi	type	source	data	sentence
01_itimi	一味	w:13974:34:2:1	イチミ	sampling	Wikipedia	train	１人用のＶＳモードでは、リップを中心とした妖精の少女たち９人と、ポップルスの征服を企む魔王サナトスらモンスター*一味*、サナトスを影から操る女神コーデリアとの戦いが描かれる。
01_itimi	一味	w:74827:42:3:1	イチミ	sampling	Wikipedia	train	テスト・パイロットはエゥーゴのジャック・ベアードや、宇宙海賊マリー*一味*のアスナ・エルマリートが務めている。
01_itimi	一味	w:226191:16:8:1	イチミ	sampling	Wikipedia	val	だがアンとメアリの抵抗虚しく、*一味*は最終的に取り押さえられてしまった。
01_itimi	一味	w:226661:24:2:1	イチミ	sampling	Wikipedia	train	ロバーツの*一味*は食糧が不足していたが、この島の総督は一切の援助を拒否した。
01_itimi	一味	w:315722:30:2:1	イチミ	sampling	Wikipedia	train	幕閣ではまだ自分に力がないと保科は詫びながら、恩賞出すので暗殺*一味*の正体と事の真相を調べてほしいと依頼。
01_itimi	一味	w:324728:10:2:1	イチミ	sampling	Wikipedia	train	彼女はロンロン島の研究所から絶滅寸前の竜のタマゴを盗み出したギャング・ギバチ*一味*から竜のタマゴを盗み返したプロの泥棒だった。
01_itimi	一味	w:380929:10:1:1	イチミ	sampling	Wikipedia	train	その後、同じようにジブラルタル（ベネズエラ）の町を襲撃したロロネー*一味*は、５００人のスペイン駐屯軍を全滅させ、町を制圧した。
01_itimi	一味	w:470490:15:1:1	イチミ	sampling	Wikipedia	val	その後、電子ジャーは武泰斗の弟子である亀仙人によって海底の奥深くに沈められ、その存在は過去のものとなっていたが、約３００年後のエイジ７５３、その存在を知ったピラフ*一味*が封印を解いたことで、この世に甦った。
01_itimi	一味	w:479273:17:2:1	イチミ	sampling	Wikipedia	test	一方、ジャッキーと勘違いされたマーは、マフィアからターザンを人質にしたことを告げられ、ターザンの解放と引き換えに護送車で運ばれるマフィア*一味*の奪還および、彼らの逃亡の手助けを依頼されるが、失敗する。
01_itimi	一味	w:562291:5:2:1	ヒトアジ	sampling	Wikipedia	train	小杉焼の釉薬は銅青磁釉と飴釉による色合いが特徴で、特に「小杉青磁」と呼ばれる緑釉の一種は淡い緑色の発色をしており、緑釉の代表である織部釉とは*一味*違う色合いを呈する。
